rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC320206_ses-P3.long.sub-CC320206_template	850.0	863.0	2709.0	2123.0	457.0	3439.0	5025.0	3032.0	839.0	6273.0	2680.0	3987.0	2267.0	3688.0	576.0	1465.0	1199.0	921.0	1377.0	2086.0	4609.0	1445.0	5139.0	3836.0	658.0	6470.0	7731.0	4769.0	4156.0	4161.0	342.0	546.0	395.0	2669.0	92781.4	1206056.0	1657467.227386
sub-CC320500_ses-P3.long.sub-CC320500_template	954.0	842.0	2064.0	1802.0	574.0	3873.0	5582.0	3170.0	1106.0	6398.0	3176.0	3430.0	2329.0	3186.0	918.0	1637.0	1726.0	882.0	1737.0	1644.0	4576.0	1471.0	5595.0	4174.0	692.0	6276.0	6437.0	5578.0	3947.0	4297.0	372.0	486.0	373.0	2607.0	93908.2	1310725.0	1750844.499719
sub-CC320621_ses-P3.long.sub-CC320621_template	932.0	849.0	2338.0	1396.0	355.0	2907.0	6286.0	3041.0	916.0	4488.0	2407.0	2910.0	2011.0	3471.0	690.0	1620.0	1503.0	895.0	1482.0	1115.0	4145.0	1386.0	4700.0	3827.0	655.0	5557.0	7365.0	5033.0	3534.0	3353.0	279.0	484.0	330.0	2298.0	84557.9	1109665.0	1459866.122099
sub-CC320687_ses-P3.long.sub-CC320687_template	891.0	863.0	2151.0	1483.0	398.0	2898.0	4259.0	3412.0	790.0	4192.0	2442.0	3127.0	2104.0	3416.0	529.0	1276.0	1351.0	827.0	1778.0	1301.0	4328.0	1250.0	4209.0	3537.0	684.0	6176.0	6288.0	4534.0	3556.0	3486.0	310.0	460.0	294.0	2033.0	80633.1	1091025.0	1412306.273476
sub-CC321544_ses-P3.long.sub-CC321544_template	1025.0	1010.0	2625.0	1870.0	353.0	3592.0	5910.0	3655.0	1215.0	5414.0	3218.0	3508.0	2346.0	4159.0	756.0	1523.0	1547.0	1090.0	1912.0	1685.0	4893.0	1616.0	5942.0	4675.0	816.0	7194.0	8125.0	5448.0	4202.0	4018.0	315.0	528.0	357.0	2566.0	99103.7	1319401.0	1785826.226987
sub-CC410177_ses-P3.long.sub-CC410177_template	1120.0	1025.0	1978.0	1801.0	386.0	3570.0	5584.0	4329.0	1167.0	5302.0	2932.0	3939.0	2448.0	4281.0	703.0	1713.0	1196.0	821.0	1508.0	1671.0	4719.0	1582.0	5116.0	4658.0	914.0	6621.0	7867.0	6571.0	4359.0	4831.0	409.0	497.0	309.0	2374.0	98300.5	1291653.0	1742995.74407
sub-CC410179_ses-P3.long.sub-CC410179_template	911.0	1004.0	3226.0	1981.0	477.0	4038.0	5624.0	4321.0	996.0	5685.0	3150.0	3572.0	2379.0	4365.0	725.0	1588.0	1877.0	921.0	1717.0	1858.0	3978.0	1334.0	6214.0	4450.0	725.0	6881.0	9773.0	4026.0	3911.0	2792.0	384.0	556.0	427.0	2493.0	98359.3	1265932.0	1742337.518593
sub-CC410297_ses-P3.long.sub-CC410297_template	789.0	670.0	2407.0	1430.0	360.0	2363.0	4167.0	3437.0	797.0	4459.0	2862.0	3063.0	2085.0	3378.0	444.0	1706.0	1581.0	813.0	1385.0	1313.0	4111.0	1139.0	5368.0	3408.0	747.0	5484.0	7119.0	4910.0	3895.0	3551.0	312.0	437.0	403.0	1863.0	82255.8	1055958.0	1436015.459754
sub-CC410325_ses-P3.long.sub-CC410325_template	889.0	791.0	1541.0	1599.0	476.0	3276.0	4841.0	3326.0	911.0	5204.0	2512.0	2937.0	2238.0	3501.0	597.0	1504.0	1088.0	785.0	1417.0	1175.0	3529.0	1250.0	4829.0	3951.0	733.0	5444.0	6861.0	4957.0	3645.0	3981.0	334.0	476.0	350.0	2488.0	83436.8	1119319.0	1491027.690246
sub-CC410354_ses-P3.long.sub-CC410354_template	1070.0	799.0	2021.0	1870.0	350.0	3657.0	6214.0	3844.0	1049.0	5878.0	3473.0	3153.0	2394.0	3666.0	600.0	1768.0	1248.0	983.0	1473.0	1473.0	4301.0	1240.0	4815.0	4230.0	685.0	6928.0	7258.0	6263.0	4062.0	3959.0	349.0	600.0	429.0	2219.0	94323.5	1253756.0	1691260.32247
